BHID,From,To,X,Y,Z,surface,series,id,order_series
BH1,248,249,582682.34,3639203.55,2050.0,rock1,series2,2,2
BH1,249,250,582682.34,3639203.55,2051.0,rock1,series2,2,2
BH1,250,251,582682.34,3639203.55,2052.0,rock1,series2,2,2
BH1,251,252,582682.34,3639203.55,2053.0,rock1,series2,2,2
BH1,252,253,582682.34,3639203.55,2054.0,rock1,series2,2,2
BH1,253,254,582682.34,3639203.55,2055.0,rock1,series2,2,2
BH2,0,1,582744.15,3639242.92,1814.98,rock2,series3,3,3
BH2,1,2,582744.17,3639242.74,1815.97,rock2,series3,3,3
BH2,2,3,582744.18,3639242.57,1816.95,rock2,series3,3,3
BH2,3,4,582744.2,3639242.4,1817.94,rock2,series3,3,3
BH2,4,5,582744.22,3639242.23,1818.92,rock2,series3,3,3
BH2,5,6,582744.24,3639242.05,1819.91,rock2,series3,3,3
BH2,6,7,582744.26,3639241.88,1820.89,rock2,series3,3,3
BH2,7,8,582744.28,3639241.71,1821.88,rock2,series3,3,3
BH2,8,9,582744.29,3639241.54,1822.86,rock2,series3,3,3
BH2,9,10,582744.31,3639241.36,1823.85,rock2,series3,3,3
BH2,10,11,582744.33,3639241.19,1824.83,rock2,series3,3,3
BH2,11,12,582744.35,3639241.02,1825.82,rock2,series3,3,3
BH2,12,13,582744.37,3639240.84,1826.8,rock2,series3,3,3
BH2,13,14,582744.38,3639240.67,1827.79,rock2,series3,3,3
BH2,14,15,582744.4,3639240.5,1828.77,rock2,series3,3,3
BH2,15,16,582744.42,3639240.33,1829.76,rock2,series3,3,3
BH2,16,17,582744.44,3639240.15,1830.74,rock2,series3,3,3
BH2,17,18,582744.46,3639239.98,1831.73,rock2,series3,3,3
BH2,18,19,582744.47,3639239.81,1832.71,rock2,series3,3,3
BH2,19,20,582744.49,3639239.64,1833.7,rock2,series3,3,3
BH2,20,21,582744.51,3639239.46,1834.68,rock2,series3,3,3
BH2,21,22,582744.53,3639239.29,1835.67,rock2,series3,3,3
BH2,22,23,582744.55,3639239.12,1836.65,rock2,series3,3,3
BH2,23,24,582744.57,3639238.95,1837.64,rock2,series3,3,3
BH2,24,25,582744.58,3639238.77,1838.62,rock2,series3,3,3
BH2,25,26,582744.6,3639238.6,1839.61,rock2,series3,3,3
BH2,26,27,582744.62,3639238.43,1840.59,rock2,series3,3,3
BH2,27,28,582744.64,3639238.25,1841.57,rock2,series3,3,3
BH2,28,29,582744.66,3639238.08,1842.56,rock2,series3,3,3
BH2,29,30,582744.67,3639237.91,1843.54,rock2,series3,3,3
BH2,30,31,582744.69,3639237.74,1844.53,rock2,series3,3,3
BH2,31,32,582744.71,3639237.56,1845.51,rock2,series3,3,3
