BHID,From,To,Rock Type/ Alterations,Symbol,Rtype,Description,
BH2,10,11,Basalt,B-S,3,Dark greenish grey highly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,11,12,Basalt,B-S,3,Dark greenish grey highly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,12,13,Basalt,B-S,3,Dark greenish grey highly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,13,14,Basalt,B-S,3,Dark greenish grey highly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,14,15,Basalt,B-S,3,Dark greenish grey highly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,15,16,Basalt,B-S,3,Dark greenish grey highly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,16,17,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,17,18,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,18,19,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,19,20,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,20,21,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,21,22,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,22,23,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,23,24,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,24,25,Basalt,B-S,3,Dark greenish grey highly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,25,26,Basalt,B-S,3,Dark greenish grey highly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,26,27,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,27,28,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,28,29,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,29,30,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,30,31,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,31,32,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,32,33,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,33,34,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,34,35,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,35,36,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,36,37,Basalt,B-S,3,Dark greenish grey highly fractured & fragmented hydrothermally altered basalt containing serpentine,
BH2,37,38,Basalt,B-S,3,Dark greenish grey slightly fractured & fragmented hydrothermally altered basalt containing serpentine,
